Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query251,Hybrid (RRF),0.8643145546088337,0.933745776545611,1.0,1.0
test_query252,Hybrid (RRF),0.6274092458891772,0.9363792118010483,1.0,0.7467045958894682
test_query253,BM25,1.0,0.8200685179888283,0.9363792118010483,0.7849818707050383
test_query254,BM25,0.33087444618182743,0.17947710508581735,0.2618080742270754,0.25880978898961277
test_query255,BM25,1.0,0.7846170207230129,0.793584067764911,0.7183627972686238
test_query256,Hybrid + Rerank,0.7411902110103873,0.6267310462031457,0.7385567757549499,0.7421246259355073
test_query257,Hybrid + Rerank,0.6274092458891772,0.78180487222265,0.800693766409882,0.8701249883466593
test_query258,Hybrid (RRF),0.9266360779006401,0.933745776545611,1.0,0.9052116356304493
test_query259,Dense,0.4690000933206748,0.8572048559638628,0.7819835854675755,0.8572048559638628
test_query260,Dense,0.9363792118010483,1.0,0.9363792118010483,1.0
test_query261,BM25,1.0,0.7819835854675755,0.9305687780632227,0.9266360779006401
test_query262,Hybrid + Rerank,0.7007731679885374,0.7034066032439746,0.7289115290270202,0.7467045958894682
test_query263,BM25,0.7799082337019199,0.7015099647232446,0.7104770117651426,0.7015099647232446
test_query264,Hybrid (RRF),0.32458397444423615,0.5541432109622958,0.826813366651774,0.7162874455029682
test_query265,Dense,0.43828689407543014,0.5736899196572436,0.5522654773870531,0.28088150105118154
test_query266,Dense,0.8512360941594274,1.0,1.0,1.0
test_query267,BM25,0.84860265890399,0.2082936658103318,0.35970991185182927,0.6235744328990731
test_query268,Hybrid (RRF),0.7280855459907165,0.8603818544462509,0.914856882358379,0.7827392871477702
test_query269,Hybrid (RRF),0.6316243658611127,0.5271064966405455,0.793584067764911,0.7183627972686238
test_query270,Hybrid + Rerank,0.6332196796270029,0.8701249883466593,0.8701249883466593,0.9305687780632227
test_query271,BM25,0.7312625444731047,0.5478527392247046,0.6156886473955918,0.636658712740428
test_query272,Dense,0.501749354207772,0.9266360779006401,0.8415908474314976,0.6627919420317119
test_query273,Hybrid + Rerank,0.5045411175298191,0.5750739861833288,0.6563033086078546,0.933745776545611
test_query274,BM25,0.7264127302306637,0.39215784798408637,0.5590796706691326,0.5431008121547419
test_query275,Hybrid (RRF),0.800693766409882,0.7948833326720564,0.8553475075669357,0.8389574121760602
test_query276,Dense,0.2835149363066189,0.5333576782543337,0.36602461869280256,0.3565964385966262
test_query277,Dense,0.914856882358379,1.0,0.9363792118010483,0.8454256604216017
test_query278,BM25,1.0,0.42257499837058643,0.6300426811446146,0.727329844310522
test_query279,BM25,0.933745776545611,0.8899541168509599,0.8454256604216017,0.835780413693672
test_query280,Hybrid + Rerank,0.7967610662472993,0.7877736340270854,0.7721596254947203,0.933745776545611
test_query281,Dense,0.0,0.522032859637427,0.522032859637427,0.37326895379685443
test_query282,Hybrid + Rerank,0.84860265890399,0.7702043899253147,0.8553475075669357,0.8701249883466593
test_query283,Dense,0.4690000933206748,1.0,0.8454256604216017,0.9266360779006401
test_query284,BM25,0.9363792118010483,0.7183627972686238,0.7859162856301584,0.914856882358379
test_query285,BM25,1.0,1.0,1.0,1.0
test_query286,BM25,1.0,1.0,1.0,1.0
test_query287,Hybrid (RRF),0.5181001594748443,0.5341769051617135,0.5404673768993046,0.4666234168001789
test_query288,BM25,1.0,1.0,1.0,1.0
test_query289,BM25,1.0,0.933745776545611,0.933745776545611,1.0
test_query290,Hybrid + Rerank,0.8521705090845474,0.7967610662472993,0.8572048559638628,0.933745776545611
test_query291,Dense,0.38589303732090635,0.44510108735750953,0.3885264725763437,0.37326895379685443
test_query292,Hybrid + Rerank,0.7125523635307982,0.9363792118010483,0.7859162856301584,1.0
test_query293,BM25,0.772837825180752,0.44793214080335986,0.6331992944486872,0.42724449526787633
test_query294,BM25,0.6594803070902429,0.4697557950008693,0.6555476069276601,0.6332971816211658
test_query295,Hybrid (RRF),0.07839826897867533,0.26462022272743835,0.3714891073940902,0.3570764765963919
test_query296,BM25,0.47842151728792726,0.07336392209936005,0.424926013816671,0.28323251649726616
test_query297,BM25,1.0,0.6117748521784964,0.9363792118010483,0.7846170207230129
test_query298,Dense,0.6906478832608419,0.9266360779006401,0.9052116356304493,0.7682269253321375
test_query299,BM25,1.0,0.9266360779006401,1.0,1.0
test_query300,BM25,0.914856882358379,0.424926013816671,0.857980942822373,0.741670249010153
test_query301,Dense,0.78180487222265,1.0,1.0,1.0
test_query302,Dense,0.7630946912803436,0.7682269253321375,0.7600791051976192,0.7241528458281337
test_query303,Hybrid + Rerank,0.3589542101716347,0.9363792118010483,0.8899541168509599,1.0
test_query304,BM25,0.7753366239771086,0.6848374495230163,0.7453016244178956,0.693761356516045
test_query305,Dense,0.8630152897016883,1.0,1.0,0.9363792118010483
test_query306,Dense,0.7917063341896681,0.8115558478722846,0.7136540102475308,0.702728403557943
test_query307,BM25,1.0,0.8701249883466593,1.0,0.9363792118010483
test_query308,Dense,0.7702043899253147,0.9216017310213247,0.8630152897016883,0.727329844310522
test_query309,Dense,0.933745776545611,1.0,1.0,0.9363792118010483
test_query310,Hybrid (RRF),0.6399441431116327,0.6083169141195838,0.6936634693435663,0.4422195942380129
test_query311,Dense,0.727329844310522,0.7917267193679839,0.7183627972686238,0.6316243658611127
test_query312,Hybrid + Rerank,0.866947989864271,0.9363792118010483,0.9305687780632227,1.0
test_query313,BM25,1.0,1.0,1.0,1.0
test_query314,Dense,0.7059054020403313,1.0,0.933745776545611,0.9305687780632227
test_query315,BM25,1.0,1.0,1.0,1.0
test_query316,BM25,1.0,1.0,1.0,1.0
